beta_regime,rho,b,q,q_c,A_pilot,A_core,A_interaction,B_trajectory_pilot
balanced,0.0,0,1,1,0,0,0,0
balanced,0.0,0,1,3,0,0,0,0
balanced,0.0,0,1,6,0,0,0,0
balanced,0.0,0,1,12,0,0,0,0
balanced,0.0,0,1,24,0,0,0,0
balanced,0.0,0,3,1,0,0,0,0
balanced,0.0,0,3,3,0,0,0,0
balanced,0.0,0,3,6,0,0,0,0
balanced,0.0,0,3,12,0,1,0,0
balanced,0.0,0,3,24,0,0,0,0
balanced,0.0,0,6,1,0,0,0,0
balanced,0.0,0,6,3,0,0,0,0
balanced,0.0,0,6,6,0,0,0,0
balanced,0.0,0,6,12,0,0,0,0
balanced,0.0,0,6,24,0,0,0,0
balanced,0.0,0,12,1,0,0,0,0
balanced,0.0,0,12,3,0,0,0,0
balanced,0.0,0,12,6,0,0,0,0
balanced,0.0,0,12,12,0,0,0,0
balanced,0.0,0,12,24,0,0,0,0
balanced,0.0,2,1,1,0,0,0,0
balanced,0.0,2,1,3,0,0,0,0
balanced,0.0,2,1,6,0,0,0,0
balanced,0.0,2,1,12,0,0,0,0
balanced,0.0,2,1,24,0,0,0,0
balanced,0.0,2,3,1,0,0,0,0
balanced,0.0,2,3,3,0,0,0,0
balanced,0.0,2,3,6,0,0,0,0
balanced,0.0,2,3,12,0,1,0,0
balanced,0.0,2,3,24,0,0,0,0
balanced,0.0,2,6,1,0,0,0,0
balanced,0.0,2,6,3,0,0,0,0
balanced,0.0,2,6,6,0,0,0,0
balanced,0.0,2,6,12,0,0,0,0
balanced,0.0,2,6,24,0,0,0,0
balanced,0.0,2,12,1,0,0,0,0
balanced,0.0,2,12,3,0,0,0,0
balanced,0.0,2,12,6,0,0,0,0
balanced,0.0,2,12,12,0,0,0,0
balanced,0.0,2,12,24,0,0,0,0
balanced,0.0,4,1,1,0,0,0,0
balanced,0.0,4,1,3,0,0,0,0
balanced,0.0,4,1,6,0,0,0,0
balanced,0.0,4,1,12,0,0,0,0
balanced,0.0,4,1,24,0,0,0,0
balanced,0.0,4,3,1,0,0,0,0
balanced,0.0,4,3,3,0,0,0,0
balanced,0.0,4,3,6,0,0,0,0
balanced,0.0,4,3,12,0,1,0,0
balanced,0.0,4,3,24,0,0,0,0
balanced,0.0,4,6,1,0,0,0,0
balanced,0.0,4,6,3,0,0,0,0
balanced,0.0,4,6,6,0,0,0,0
balanced,0.0,4,6,12,0,0,0,0
balanced,0.0,4,6,24,0,0,0,0
balanced,0.0,4,12,1,0,0,0,0
balanced,0.0,4,12,3,0,0,0,0
balanced,0.0,4,12,6,0,0,0,0
balanced,0.0,4,12,12,0,0,0,0
balanced,0.0,4,12,24,0,0,0,0
balanced,0.0,6,1,1,0,0,0,0
balanced,0.0,6,1,3,0,0,0,0
balanced,0.0,6,1,6,0,0,0,0
balanced,0.0,6,1,12,0,0,0,0
balanced,0.0,6,1,24,0,0,0,0
balanced,0.0,6,3,1,0,0,0,0
balanced,0.0,6,3,3,0,0,0,0
balanced,0.0,6,3,6,0,0,0,0
balanced,0.0,6,3,12,0,1,0,0
balanced,0.0,6,3,24,0,0,0,0
balanced,0.0,6,6,1,0,0,0,0
balanced,0.0,6,6,3,0,0,0,0
