Model,Bucket,Aligned target adoption,Aligned CI low,Aligned CI high,Incorrect target adoption,Incorrect CI low,Incorrect CI high,Adversarial resistance,Truth rate,N
GPT-4o,Anonymous,0.82,0.7,0.9,0.16,0.06,0.3,0.84,0.73,100
GPT-4o,Identity,0.82,0.66,0.94,0.14,0.0,0.3,0.86,0.76,100
GPT-4o,+Reputation,0.92,0.82,1.0,0.36,0.22,0.5,0.64,0.7,100
GPT-4o,-Reputation,0.38,0.24,0.54,0.04,0.0,0.12,0.96,0.59,100
GPT-4o,Social reputation,0.82,0.7,0.92,0.12244897959183673,0.020833333333333332,0.24489795918367346,0.8775510204081632,0.7474747474747475,99
GPT-4o,Strategic uncertainty,0.78,0.64,0.88,0.1,0.0,0.22,0.9,0.76,100
GPT-5 Mini,Anonymous,0.76,0.64,0.88,0.18,0.08,0.28,0.8200000000000001,0.73,100
GPT-5 Mini,Identity,0.72,0.56,0.86,0.2,0.08,0.32,0.8,0.71,100
GPT-5 Mini,+Reputation,0.88,0.78,0.96,0.32,0.16,0.48,0.6799999999999999,0.71,100
GPT-5 Mini,-Reputation,0.56,0.4,0.72,0.12,0.04,0.2,0.88,0.66,100
GPT-5 Mini,Social reputation,0.84,0.76,0.92,0.32,0.18,0.48,0.6799999999999999,0.69,100
GPT-5 Mini,Strategic uncertainty,0.74,0.62,0.86,0.24,0.14,0.36,0.76,0.69,100
GPT-OSS 120B,Anonymous,0.84,0.7595000000000001,0.92,0.24,0.08,0.42,0.76,0.75,100
GPT-OSS 120B,Identity,0.84,0.74,0.92,0.24,0.12,0.36,0.76,0.75,100
GPT-OSS 120B,+Reputation,0.88,0.78,0.98,0.28,0.14,0.44,0.72,0.73,100
GPT-OSS 120B,-Reputation,0.62,0.48,0.76,0.1,0.02,0.18,0.9,0.71,100
GPT-OSS 120B,Social reputation,0.9,0.84,0.96,0.24,0.12,0.38,0.76,0.77,100
GPT-OSS 120B,Strategic uncertainty,0.88,0.8,0.96,0.18,0.08,0.28,0.8200000000000001,0.79,100
Gemma4 31B,Anonymous,0.8775510204081632,0.8,0.9591836734693877,0.2608695652173913,0.11904761904761904,0.41304347826086957,0.7391304347826086,0.7684210526315789,95
Gemma4 31B,Identity,0.86,0.78,0.94,0.2,0.08,0.32,0.8,0.77,100
Gemma4 31B,+Reputation,0.9591836734693877,0.9,1.0,0.3333333333333333,0.20833333333333334,0.4583333333333333,0.6666666666666667,0.7525773195876289,97
Gemma4 31B,-Reputation,0.6,0.46,0.74,0.14893617021276595,0.0,0.30434782608695654,0.851063829787234,0.6494845360824743,97
Gemma4 31B,Social reputation,0.8775510204081632,0.82,0.9387755102040817,0.2916666666666667,0.13990909090909093,0.44,0.7083333333333333,0.7319587628865979,97
Gemma4 31B,Strategic uncertainty,0.7959183673469388,0.72,0.875,0.22448979591836735,0.1,0.3673469387755102,0.7755102040816326,0.7244897959183674,98
Kimi K2.6,Anonymous,0.9523809523809523,0.8333333333333334,1.0,0.05555555555555555,0.0,0.21428571428571427,0.9444444444444444,0.9487179487179487,39
Kimi K2.6,Identity,0.9565217391304348,0.85,1.0,0.05,0.0,0.2,0.95,0.9534883720930233,43
Kimi K2.6,+Reputation,0.9696969696969697,0.9117647058823529,1.0,0.0625,0.0,0.25,0.9375,0.9387755102040817,49
Kimi K2.6,-Reputation,0.8235294117647058,0.6153846153846154,1.0,0.0,0.0,0.0,1.0,0.8809523809523809,42
Kimi K2.6,Social reputation,0.9545454545454546,0.8421052631578947,1.0,0.0625,0.0,0.1875,0.9375,0.9473684210526315,38
Kimi K2.6,Strategic uncertainty,0.8888888888888888,0.6796666666666668,1.0,0.0,0.0,0.0,1.0,0.9411764705882353,34
Qwen3 30B A3B,Anonymous,0.5,0.34,0.66,0.14,0.04,0.24,0.86,0.55,100
Qwen3 30B A3B,Identity,0.56,0.42,0.7,0.14,0.06,0.22,0.86,0.58,100
Qwen3 30B A3B,+Reputation,0.8367346938775511,0.7345556972789116,0.9387755102040817,0.36,0.24,0.46,0.64,0.6565656565656566,99
Qwen3 30B A3B,-Reputation,0.28,0.14,0.44,0.04,0.0,0.08049999999999728,0.96,0.49,100
Qwen3 30B A3B,Social reputation,0.5918367346938775,0.4489795918367347,0.74,0.24,0.12,0.34,0.76,0.5555555555555556,99
Qwen3 30B A3B,Strategic uncertainty,0.6,0.48,0.74,0.14,0.04,0.26,0.86,0.61,100
