model_name,provider,model_id,task_id,task_name,bucket,state_id,failure_type,attempts,last_validation_error
GPT-4o,university,microsoft/gpt-4o,36,Datacenter migration,bucket_05_social_reputation,state_0090,invalid_response,3,response contains no schema-valid JSON vote object
Gemma4 31B,university,up/gemma4-31b,13,Laboratory theft,bucket_04_negative_reputation,state_0036,invalid_response,3,response contains no schema-valid JSON vote object
Gemma4 31B,university,up/gemma4-31b,4,Traffic accident,bucket_01_anonymous,state_0013,invalid_response,3,response contains no schema-valid JSON vote object
Gemma4 31B,university,up/gemma4-31b,4,Traffic accident,bucket_01_anonymous,state_0017,invalid_response,3,response contains no schema-valid JSON vote object
Gemma4 31B,university,up/gemma4-31b,4,Traffic accident,bucket_01_anonymous,state_0018,invalid_response,3,response contains no schema-valid JSON vote object
Gemma4 31B,university,up/gemma4-31b,4,Traffic accident,bucket_01_anonymous,state_0019,invalid_response,3,response contains no schema-valid JSON vote object
Gemma4 31B,university,up/gemma4-31b,4,Traffic accident,bucket_01_anonymous,state_0020,invalid_response,3,response contains no schema-valid JSON vote object
Gemma4 31B,university,up/gemma4-31b,4,Traffic accident,bucket_03_positive_reputation,state_0013,invalid_response,3,response contains no schema-valid JSON vote object
Gemma4 31B,university,up/gemma4-31b,4,Traffic accident,bucket_03_positive_reputation,state_0017,invalid_response,3,response contains no schema-valid JSON vote object
Gemma4 31B,university,up/gemma4-31b,4,Traffic accident,bucket_03_positive_reputation,state_0018,invalid_response,3,response contains no schema-valid JSON vote object
Gemma4 31B,university,up/gemma4-31b,4,Traffic accident,bucket_04_negative_reputation,state_0018,invalid_response,3,response contains no schema-valid JSON vote object
Gemma4 31B,university,up/gemma4-31b,4,Traffic accident,bucket_04_negative_reputation,state_0020,invalid_response,3,response contains no schema-valid JSON vote object
Gemma4 31B,university,up/gemma4-31b,4,Traffic accident,bucket_05_social_reputation,state_0013,invalid_response,3,response contains no schema-valid JSON vote object
Gemma4 31B,university,up/gemma4-31b,4,Traffic accident,bucket_05_social_reputation,state_0017,invalid_response,3,response contains no schema-valid JSON vote object
Gemma4 31B,university,up/gemma4-31b,4,Traffic accident,bucket_05_social_reputation,state_0018,invalid_response,3,response contains no schema-valid JSON vote object
Gemma4 31B,university,up/gemma4-31b,4,Traffic accident,bucket_06_strategic_uncertainty,state_0013,invalid_response,3,response contains no schema-valid JSON vote object
