model,bucket_a,bucket_b,delta_a_minus_b,ci_low,ci_high,matched_n
GPT-4o,bucket_01_anonymous,bucket_02_persistent_identity,0.01,-0.03,0.05,100
GPT-4o,bucket_01_anonymous,bucket_03_positive_reputation,-0.15,-0.21,-0.09,100
GPT-4o,bucket_01_anonymous,bucket_04_negative_reputation,0.28,0.18,0.38,100
GPT-4o,bucket_01_anonymous,bucket_05_social_reputation,0.020202020202020204,-0.05,0.08163265306122448,99
GPT-4o,bucket_01_anonymous,bucket_06_strategic_uncertainty,0.05,0.02,0.08,100
GPT-4o,bucket_02_persistent_identity,bucket_03_positive_reputation,-0.16,-0.21,-0.11,100
GPT-4o,bucket_02_persistent_identity,bucket_04_negative_reputation,0.27,0.17,0.37,100
GPT-4o,bucket_02_persistent_identity,bucket_05_social_reputation,0.010101010101010102,-0.04081632653061224,0.08163265306122448,99
GPT-4o,bucket_02_persistent_identity,bucket_06_strategic_uncertainty,0.04,0.0,0.09,100
GPT-4o,bucket_03_positive_reputation,bucket_04_negative_reputation,0.43,0.3,0.55,100
GPT-4o,bucket_03_positive_reputation,bucket_05_social_reputation,0.1717171717171717,0.11,0.24242424242424243,99
GPT-4o,bucket_03_positive_reputation,bucket_06_strategic_uncertainty,0.2,0.14,0.25,100
GPT-4o,bucket_04_negative_reputation,bucket_05_social_reputation,-0.26262626262626265,-0.35714285714285715,-0.16161616161616163,99
GPT-4o,bucket_04_negative_reputation,bucket_06_strategic_uncertainty,-0.23,-0.32,-0.15,100
GPT-4o,bucket_05_social_reputation,bucket_06_strategic_uncertainty,0.030303030303030304,-0.010309278350515464,0.08080808080808081,99
GPT-5 Mini,bucket_01_anonymous,bucket_02_persistent_identity,0.01,-0.03,0.05,100
GPT-5 Mini,bucket_01_anonymous,bucket_03_positive_reputation,-0.13,-0.2,-0.07,100
GPT-5 Mini,bucket_01_anonymous,bucket_04_negative_reputation,0.13,0.07,0.19,100
GPT-5 Mini,bucket_01_anonymous,bucket_05_social_reputation,-0.11,-0.19,-0.04,100
GPT-5 Mini,bucket_01_anonymous,bucket_06_strategic_uncertainty,-0.02,-0.06,0.03,100
GPT-5 Mini,bucket_02_persistent_identity,bucket_03_positive_reputation,-0.14,-0.21,-0.07,100
GPT-5 Mini,bucket_02_persistent_identity,bucket_04_negative_reputation,0.12,0.06,0.19,100
GPT-5 Mini,bucket_02_persistent_identity,bucket_05_social_reputation,-0.12,-0.19,-0.05,100
GPT-5 Mini,bucket_02_persistent_identity,bucket_06_strategic_uncertainty,-0.03,-0.07,0.01,100
GPT-5 Mini,bucket_03_positive_reputation,bucket_04_negative_reputation,0.26,0.16,0.38,100
GPT-5 Mini,bucket_03_positive_reputation,bucket_05_social_reputation,0.02,0.0,0.05,100
GPT-5 Mini,bucket_03_positive_reputation,bucket_06_strategic_uncertainty,0.11,0.04,0.19,100
GPT-5 Mini,bucket_04_negative_reputation,bucket_05_social_reputation,-0.24,-0.35,-0.14,100
GPT-5 Mini,bucket_04_negative_reputation,bucket_06_strategic_uncertainty,-0.15,-0.22,-0.09,100
GPT-5 Mini,bucket_05_social_reputation,bucket_06_strategic_uncertainty,0.09,0.02,0.17,100
GPT-OSS 120B,bucket_01_anonymous,bucket_02_persistent_identity,0.0,-0.05,0.05,100
GPT-OSS 120B,bucket_01_anonymous,bucket_03_positive_reputation,-0.04,-0.08,0.0,100
GPT-OSS 120B,bucket_01_anonymous,bucket_04_negative_reputation,0.18,0.1,0.26,100
GPT-OSS 120B,bucket_01_anonymous,bucket_05_social_reputation,-0.03,-0.06,0.0,100
GPT-OSS 120B,bucket_01_anonymous,bucket_06_strategic_uncertainty,0.01,-0.05,0.07,100
GPT-OSS 120B,bucket_02_persistent_identity,bucket_03_positive_reputation,-0.04,-0.09,0.01,100
GPT-OSS 120B,bucket_02_persistent_identity,bucket_04_negative_reputation,0.18,0.11,0.25,100
GPT-OSS 120B,bucket_02_persistent_identity,bucket_05_social_reputation,-0.03,-0.09,0.02,100
GPT-OSS 120B,bucket_02_persistent_identity,bucket_06_strategic_uncertainty,0.01,-0.03,0.05,100
GPT-OSS 120B,bucket_03_positive_reputation,bucket_04_negative_reputation,0.22,0.12,0.32,100
GPT-OSS 120B,bucket_03_positive_reputation,bucket_05_social_reputation,0.01,-0.04,0.05,100
GPT-OSS 120B,bucket_03_positive_reputation,bucket_06_strategic_uncertainty,0.05,0.0,0.11,100
