bucket,model_a,model_b,delta_a_minus_b,ci_low,ci_high,matched_n
bucket_01_anonymous,GPT-4o,GPT-5 Mini,0.02,-0.04,0.08,100
bucket_01_anonymous,GPT-4o,GPT-OSS 120B,-0.05,-0.09,0.0,100
bucket_01_anonymous,GPT-4o,Gemma4 31B,-0.06315789473684211,-0.12631578947368421,-0.011764705882352941,95
bucket_01_anonymous,GPT-4o,Kimi K2.6,-0.05128205128205128,-0.08620689655172414,0.0,39
bucket_01_anonymous,GPT-4o,Qwen3 30B A3B,0.17,0.07,0.26,100
bucket_01_anonymous,GPT-5 Mini,GPT-OSS 120B,-0.07,-0.13,-0.01,100
bucket_01_anonymous,GPT-5 Mini,Gemma4 31B,-0.09473684210526316,-0.16016666666666665,-0.021052631578947368,95
bucket_01_anonymous,GPT-5 Mini,Kimi K2.6,-0.05128205128205128,-0.16,0.0,39
bucket_01_anonymous,GPT-5 Mini,Qwen3 30B A3B,0.15,0.04,0.25,100
bucket_01_anonymous,GPT-OSS 120B,Gemma4 31B,-0.021052631578947368,-0.07777777777777778,0.04,95
bucket_01_anonymous,GPT-OSS 120B,Kimi K2.6,0.0,-0.08108108108108109,0.07894736842105263,39
bucket_01_anonymous,GPT-OSS 120B,Qwen3 30B A3B,0.22,0.11,0.32,100
bucket_01_anonymous,Gemma4 31B,Kimi K2.6,0.0,0.0,0.0,39
bucket_01_anonymous,Gemma4 31B,Qwen3 30B A3B,0.25263157894736843,0.1368421052631579,0.35789473684210527,95
bucket_01_anonymous,Kimi K2.6,Qwen3 30B A3B,0.15384615384615385,-0.08333333333333333,0.320771563342318,39
bucket_02_persistent_identity,GPT-4o,GPT-5 Mini,0.02,-0.07,0.1,100
bucket_02_persistent_identity,GPT-4o,GPT-OSS 120B,-0.06,-0.12,0.01,100
bucket_02_persistent_identity,GPT-4o,Gemma4 31B,-0.05,-0.1,0.0,100
bucket_02_persistent_identity,GPT-4o,Kimi K2.6,-0.023255813953488372,-0.06666666666666667,0.0,43
bucket_02_persistent_identity,GPT-4o,Qwen3 30B A3B,0.13,0.01,0.24,100
bucket_02_persistent_identity,GPT-5 Mini,GPT-OSS 120B,-0.08,-0.15,-0.01,100
bucket_02_persistent_identity,GPT-5 Mini,Gemma4 31B,-0.07,-0.12,-0.02,100
bucket_02_persistent_identity,GPT-5 Mini,Kimi K2.6,-0.023255813953488372,-0.09375,0.0,43
bucket_02_persistent_identity,GPT-5 Mini,Qwen3 30B A3B,0.11,0.04,0.18,100
bucket_02_persistent_identity,GPT-OSS 120B,Gemma4 31B,0.01,-0.04,0.06,100
bucket_02_persistent_identity,GPT-OSS 120B,Kimi K2.6,0.0,0.0,0.0,43
bucket_02_persistent_identity,GPT-OSS 120B,Qwen3 30B A3B,0.19,0.09,0.29,100
bucket_02_persistent_identity,Gemma4 31B,Kimi K2.6,-0.023255813953488372,-0.08333333333333333,0.0,43
bucket_02_persistent_identity,Gemma4 31B,Qwen3 30B A3B,0.18,0.09,0.27,100
bucket_02_persistent_identity,Kimi K2.6,Qwen3 30B A3B,0.11627906976744186,-0.046511627906976744,0.2758804108584005,43
bucket_03_positive_reputation,GPT-4o,GPT-5 Mini,0.04,-0.04,0.13,100
bucket_03_positive_reputation,GPT-4o,GPT-OSS 120B,0.06,0.0,0.13,100
bucket_03_positive_reputation,GPT-4o,Gemma4 31B,0.0,-0.07,0.08247422680412371,97
bucket_03_positive_reputation,GPT-4o,Kimi K2.6,0.0,0.0,0.0,49
bucket_03_positive_reputation,GPT-4o,Qwen3 30B A3B,0.04040404040404041,-0.05154639175257732,0.13131313131313133,99
bucket_03_positive_reputation,GPT-5 Mini,GPT-OSS 120B,0.02,-0.02,0.07,100
